epoch,centers_loss,loss,mask_loss,val_centers_loss,val_loss,val_mask_loss
0,0.04011880233883858,0.3018278181552887,0.5234179496765137,NA,NA,NA
1,0.03179222717881203,0.20702308416366577,0.3504617214202881,NA,NA,NA
2,0.02644539810717106,0.17418842017650604,0.2954860031604767,NA,NA,NA
3,0.02123931795358658,0.1485101580619812,0.2545417249202728,NA,NA,NA
4,0.0182836651802063,0.1296718269586563,0.2227763682603836,NA,NA,NA
5,0.016793278977274895,0.120519258081913,0.2074519395828247,NA,NA,NA
6,0.015338360331952572,0.10641934722661972,0.18216200172901154,NA,NA,NA
7,0.013259521685540676,0.09837181866168976,0.17022448778152466,NA,NA,NA
8,0.010420970618724823,0.08070263266563416,0.14056330919265747,NA,NA,NA
9,0.01034865528345108,0.07874462753534317,0.13679192960262299,NA,NA,NA
10,0.008770407177507877,0.06989483535289764,0.1222488284111023,NA,NA,NA
11,0.008148315362632275,0.06525173783302307,0.11420688033103943,NA,NA,NA
12,0.007421229965984821,0.06109975278377533,0.10735704749822617,NA,NA,NA
13,0.006059487350285053,0.05334876850247383,0.0945785790681839,NA,NA,NA
14,0.0057457746006548405,0.051496721804142,0.091501884162426,NA,NA,NA
0,0.004338202998042107,0.045086584985256195,0.08149675279855728,NA,NA,NA
1,0.004208373837172985,0.04332369938492775,0.07823064923286438,NA,NA,NA
2,0.003696059575304389,0.04143752157688141,0.07548293471336365,NA,NA,NA
3,0.0036509952042251825,0.04098231717944145,0.07466264814138412,NA,NA,NA
4,0.00274168374016881,0.035328563302755356,0.06517377495765686,NA,NA,NA
5,0.0025879174936562777,0.032902590930461884,0.060629330575466156,NA,NA,NA
6,0.002210451290011406,0.030203044414520264,0.05598517879843712,NA,NA,NA
7,0.0018562976038083434,0.02909225970506668,0.054471924901008606,NA,NA,NA
8,0.0020226300694048405,0.029095714911818504,0.054146140813827515,NA,NA,NA
9,0.0015364285791292787,0.02541692554950714,0.0477609857916832,NA,NA,NA
10,0.0014962614513933659,0.025012584403157234,0.047032665461301804,NA,NA,NA
11,0.0015427133766934276,0.026777835562825203,0.050470251590013504,NA,NA,NA
12,0.0016119889914989471,0.02617756277322769,0.049131136387586594,NA,NA,NA
13,0.001476525329053402,0.025814533233642578,0.0486760251224041,NA,NA,NA
14,0.0011284666834399104,0.021106593310832977,0.03995625302195549,NA,NA,NA
15,0.0011564329033717513,0.021034933626651764,0.03975700959563255,NA,NA,NA
16,0.0013847250957041979,0.020908480510115623,0.03904752433300018,NA,NA,NA
17,0.000997888739220798,0.01882839947938919,0.03566103056073189,NA,NA,NA
