epoch,centers_loss,loss,mask_loss,val_centers_loss,val_loss,val_mask_loss
0,0.059294551610946655,0.2530471682548523,0.38750526309013367,NA,NA,NA
1,0.031174112111330032,0.13962554931640625,0.21690280735492706,NA,NA,NA
2,0.020673779770731926,0.10735214501619339,0.1733567863702774,NA,NA,NA
3,0.015282629989087582,0.08097996562719345,0.13139468431472778,NA,NA,NA
4,0.012965196743607521,0.06860300898551941,0.1112755835056305,NA,NA,NA
5,0.009428191930055618,0.05440904572606087,0.0899616926908493,NA,NA,NA
6,0.007957251742482185,0.04623625800013542,0.07655801624059677,NA,NA,NA
7,0.006121900863945484,0.039832860231399536,0.06742194294929504,NA,NA,NA
8,0.005480850115418434,0.034265145659446716,0.057568587362766266,NA,NA,NA
9,0.0039314404129981995,0.027702366933226585,0.04754186049103737,NA,NA,NA
10,0.003500310704112053,0.023354334756731987,0.039708055555820465,NA,NA,NA
11,0.0032314229756593704,0.022257531061768532,0.03805222734808922,NA,NA,NA
12,0.002539603505283594,0.01933186687529087,0.03358453884720802,NA,NA,NA
13,0.0023395156022161245,0.016404706984758377,0.02813037671148777,NA,NA,NA
14,0.0018051890656352043,0.01328281406313181,0.022955244407057762,NA,NA,NA
0,0.0015312976902350783,0.011934664100408554,0.02080673538148403,NA,NA,NA
1,0.0015299358638003469,0.01098337396979332,0.01890687458217144,NA,NA,NA
2,0.0012341007823124528,0.00997580960392952,0.0174834243953228,NA,NA,NA
3,0.0013604008127003908,0.008886169642210007,0.015051540918648243,NA,NA,NA
4,0.0010079899802803993,0.008494231849908829,0.014972483739256859,NA,NA,NA
5,0.0008371108560822904,0.007211018353700638,0.012747811153531075,NA,NA,NA
6,0.000785446900408715,0.006347141228616238,0.011123394593596458,NA,NA,NA
7,0.0007904100930318236,0.005934487096965313,0.010288153775036335,NA,NA,NA
8,0.0005982883158139884,0.005131347570568323,0.009066118858754635,NA,NA,NA
9,0.0005024568527005613,0.0049852184019982815,0.008965525776147842,NA,NA,NA
10,0.00048783200327306986,0.004224345553666353,0.0074730245396494865,NA,NA,NA
11,0.0005194895202293992,0.004507039207965136,0.007975100539624691,NA,NA,NA
12,0.00034443632466718554,0.003346565645188093,0.006004260387271643,NA,NA,NA
13,0.00037100209738127887,0.0033613452687859535,0.005980686750262976,NA,NA,NA
14,0.0003426064795348793,0.0030151242390275,0.005345038138329983,NA,NA,NA
15,0.0002783536911010742,0.002717760391533375,0.004878813400864601,NA,NA,NA
16,0.00023886635608505458,0.0025298171676695347,0.004581899847835302,NA,NA,NA
17,0.00023992637579794973,0.0023492726031690836,0.004218692425638437,NA,NA,NA
18,0.00023244958720169961,0.0021204070653766394,0.003775914665311575,NA,NA,NA
19,0.00030867004534229636,0.002226060489192605,0.003834781236946583,NA,NA,NA
20,0.00022290015476755798,0.00218349345959723,0.00392118701711297,NA,NA,NA
21,0.00020402293012011796,0.0019092842703685164,0.0034105232916772366,NA,NA,NA
22,0.000179228387423791,0.001791924238204956,0.003225390799343586,NA,NA,NA
23,0.00020875886548310518,0.0016993316821753979,0.00298114656470716,NA,NA,NA
24,0.00015150844410527498,0.0015251371078193188,0.0027472577057778835,NA,NA,NA
0,0.00012417887046467513,0.0012688017450273037,0.0022892458364367485,NA,NA,NA
1,0.00013861397746950388,0.0012976835714653134,0.002318139187991619,NA,NA,NA
2,0.00011188941425643861,0.001187159912660718,0.002150540705770254,NA,NA,NA
3,0.00010714693053159863,0.0010200313990935683,0.0018257696647197008,NA,NA,NA
4,9.89273248706013e-05,0.00109472731128335,0.001991599565371871,NA,NA,NA
5,0.00015656788309570402,0.001062233466655016,0.0018113312544301152,NA,NA,NA
6,7.25966747268103e-05,0.000825611175969243,0.0015060295118018985,NA,NA,NA
7,6.34749885648489e-05,0.0007482952787540853,0.0013696405803784728,NA,NA,NA
8,7.302615995286033e-05,0.0008268482051789761,0.001507644192315638,NA,NA,NA
9,7.99156041466631e-05,0.0007945407414808869,0.001429250231012702,NA,NA,NA
10,0.00011897268996108323,0.0007768512004986405,0.001315757050178945,NA,NA,NA
11,5.5455519031966105e-05,0.0006644421955570579,0.001217973418533802,NA,NA,NA
12,9.414866508450359e-05,0.0006393191870301962,0.0010903410147875547,NA,NA,NA
13,4.0031336538959295e-05,0.0005462069530040026,0.0010123510146513581,NA,NA,NA
14,8.131667709676549e-05,0.0004888707189820707,0.0008151080692186952,NA,NA,NA
15,4.886401802650653e-05,0.0005772100994363427,0.001056691980920732,NA,NA,NA
16,4.1596602386562154e-05,0.0005717106396332383,0.0010602279799059033,NA,NA,NA
17,3.883907265844755e-05,0.0005005119601264596,0.0009233453311026096,NA,NA,NA
18,6.948685768293217e-05,0.000558835978154093,0.0009786981390789151,NA,NA,NA
19,4.226243981975131e-05,0.00038600468542426825,0.0006874847458675504,NA,NA,NA
20,2.376584779995028e-05,0.00032107994775287807,0.0005946281598880887,NA,NA,NA
21,3.8014157325960696e-05,0.0003608493134379387,0.0006456701667048037,NA,NA,NA
22,5.525163942365907e-05,0.0003935838758479804,0.0006766644073650241,NA,NA,NA
23,1.970370067283511e-05,0.00031434965785592794,0.0005892917397432029,NA,NA,NA
24,2.4501010557287373e-05,0.00028898497112095356,0.0005289678811095655,NA,NA,NA
25,8.908645395422354e-05,0.0004267046460881829,0.0006752362241968513,NA,NA,NA
26,3.518114681355655e-05,0.0003186735266353935,0.0005669845850206912,NA,NA,NA
27,6.209565617609769e-05,0.0003230595320928842,0.0005219277227297425,NA,NA,NA
28,3.1839310395298526e-05,0.00033053028164431453,0.0005973819061182439,NA,NA,NA
29,1.1529498806339689e-05,0.00020464111003093421,0.00038622316787950695,NA,NA,NA
30,1.8956538042402826e-05,0.00023808142577763647,0.00043824949534609914,NA,NA,NA
31,1.5767656805110164e-05,0.0001875252346508205,0.000343515130225569,NA,NA,NA
32,2.0619265342247672e-05,0.00018825008010026067,0.00033526174956932664,NA,NA,NA
33,2.356371987843886e-05,0.00019126717234030366,0.0003354068612679839,NA,NA,NA
34,1.9311572032165714e-05,0.00014686555368825793,0.0002551078505348414,NA,NA,NA
0,1.266394156118622e-05,0.00014085475413594395,0.00025638157967478037,NA,NA,NA
1,1.0433719580760226e-05,0.00013780995504930615,0.00025475252186879516,NA,NA,NA
2,2.485275581420865e-05,0.00018822761194314808,0.00032674975227564573,NA,NA,NA
3,1.3283382941153832e-05,0.00011775071470765397,0.00020893471082672477,NA,NA,NA
4,1.1125845958304126e-05,0.00012568266538437456,0.00022911364794708788,NA,NA,NA
5,8.63028435560409e-06,0.0001117505380534567,0.00020624054013751447,NA,NA,NA
6,1.6163592590601183e-05,0.00016078641056083143,0.000289245683234185,NA,NA,NA
7,1.0237100468657445e-05,0.00010650760668795556,0.00019254095968790352,NA,NA,NA
8,5.8708415053843055e-06,8.88569193193689e-05,0.00016597217472735792,NA,NA,NA
9,7.1587037382414564e-06,9.667791164247319e-05,0.00017903844127431512,NA,NA,NA
10,7.873589311202522e-06,9.316551586380228e-05,0.00017058388039004058,NA,NA,NA
11,5.843005510541843e-06,8.618216088507324e-05,0.00016067827527876943,NA,NA,NA
12,8.17112777440343e-06,9.592968126526102e-05,0.00017551713972352445,NA,NA,NA
13,9.294630217482336e-06,7.490975986002013e-05,0.00013123029202688485,NA,NA,NA
14,4.475185050978325e-06,8.108788460958749e-05,0.00015322536637540907,NA,NA,NA
