epoch,centers_loss,loss,mask_loss,val_centers_loss,val_loss,val_mask_loss
0,0.04961280897259712,0.2873176634311676,0.4754098951816559,NA,NA,NA
1,0.030024705454707146,0.19124923646450043,0.32244908809661865,NA,NA,NA
2,0.023662351071834564,0.15805356204509735,0.26878243684768677,NA,NA,NA
3,0.019866622984409332,0.13507691025733948,0.23042058944702148,NA,NA,NA
4,0.015601537190377712,0.110230952501297,0.18925876915454865,NA,NA,NA
5,0.012490038760006428,0.09156159311532974,0.15814308822155,NA,NA,NA
6,0.010975743643939495,0.0808594822883606,0.13976748287677765,NA,NA,NA
7,0.007904146797955036,0.07028483599424362,0.12476140260696411,NA,NA,NA
8,0.006776558235287666,0.0636901929974556,0.11382726579904556,NA,NA,NA
9,0.00630871020257473,0.05674417316913605,0.10087095201015472,NA,NA,NA
10,0.005213502794504166,0.050129227340221405,0.08983147889375687,NA,NA,NA
11,0.004731301683932543,0.04503275454044342,0.08060292154550552,NA,NA,NA
12,0.0037678892258554697,0.041385699063539505,0.07523561269044876,NA,NA,NA
13,0.0032823351211845875,0.03491067513823509,0.06325667351484299,NA,NA,NA
14,0.0027025651652365923,0.03083985298871994,0.05627458542585373,NA,NA,NA
0,0.0020974872168153524,0.0281661506742239,0.05213730409741402,NA,NA,NA
1,0.0020231902599334717,0.02548384852707386,0.04692130908370018,NA,NA,NA
2,0.001900931354612112,0.02438790537416935,0.0449739471077919,NA,NA,NA
3,0.0017103373538702726,0.02157282829284668,0.039724983274936676,NA,NA,NA
4,0.0016674416838213801,0.01935032196342945,0.03536577150225639,NA,NA,NA
5,0.0011987732723355293,0.017139222472906113,0.03188090771436691,NA,NA,NA
6,0.0014657704159617424,0.015550706535577774,0.028169868513941765,NA,NA,NA
7,0.00129616423510015,0.014529832638800144,0.026467332616448402,NA,NA,NA
8,0.0011456042993813753,0.013850217685103416,0.025409236550331116,NA,NA,NA
9,0.0009250608854927123,0.014129973948001862,0.026409829035401344,NA,NA,NA
10,0.000834496458992362,0.011692214757204056,0.0217154361307621,NA,NA,NA
11,0.0009930478408932686,0.010453350841999054,0.01892060972750187,NA,NA,NA
12,0.000810320139862597,0.010908744297921658,0.02019684389233589,NA,NA,NA
13,0.0007957281777635217,0.00963260792195797,0.017673755064606667,NA,NA,NA
14,0.0007450410630553961,0.010273835621774197,0.019057590514421463,NA,NA,NA
15,0.0005763915833085775,0.008393516764044762,0.015634242445230484,NA,NA,NA
16,0.0006298183579929173,0.00856800377368927,0.015876369550824165,NA,NA,NA
17,0.0006069075898267329,0.007182699628174305,0.01315158512443304,NA,NA,NA
18,0.0005488352617248893,0.006502511911094189,0.011907350271940231,NA,NA,NA
19,0.0005896001239307225,0.007144325412809849,0.013109450228512287,NA,NA,NA
20,0.0003793850773945451,0.006057931575924158,0.011357095092535019,NA,NA,NA
21,0.00041582927224226296,0.005432001780718565,0.010032344609498978,NA,NA,NA
22,0.0002937981626018882,0.004503301344811916,0.008419007062911987,NA,NA,NA
23,0.00021175650181248784,0.004076519049704075,0.007729528471827507,NA,NA,NA
24,0.00035494795884005725,0.004074958618730307,0.007440020330250263,NA,NA,NA
0,0.00024515733821317554,0.004014516249299049,0.007538716308772564,NA,NA,NA
1,0.00035521815880201757,0.004016142338514328,0.007321851793676615,NA,NA,NA
2,0.00030323347891680896,0.0035779010504484177,0.006549336947500706,NA,NA,NA
3,0.00021252028818707913,0.0037411486264318228,0.007057256530970335,NA,NA,NA
4,0.00017562409630045295,0.002953558461740613,0.005555872339755297,NA,NA,NA
5,0.00020110778859816492,0.0031667088624089956,0.0059312013909220695,NA,NA,NA
6,0.00017100665718317032,0.0023247129283845425,0.004307413939386606,NA,NA,NA
7,0.00020924628188367933,0.0029801223427057266,0.005541753023862839,NA,NA,NA
8,0.0002252645936096087,0.0029619582928717136,0.005473385564982891,NA,NA,NA
9,0.00017658273281995207,0.002155343536287546,0.003957520239055157,NA,NA,NA
10,0.0002847106661647558,0.00236715329810977,0.004164885729551315,NA,NA,NA
11,0.00013789147487841547,0.001851664506830275,0.0034275478683412075,NA,NA,NA
12,0.00019383667677175254,0.002027833368629217,0.0036679930053651333,NA,NA,NA
13,9.497031715000048e-05,0.0014057947555556893,0.0026216483674943447,NA,NA,NA
14,0.00011861560778925195,0.0020513786002993584,0.003865526057779789,NA,NA,NA
15,8.913295459933579e-05,0.0015353846829384565,0.0028925028163939714,NA,NA,NA
16,0.00011905067367479205,0.0015268420102074742,0.002815581625327468,NA,NA,NA
17,0.00017452779866289347,0.0015799449756741524,0.002810833742842078,NA,NA,NA
18,0.00017586069589015096,0.0023107663728296757,0.004269812256097794,NA,NA,NA
19,3.522444603731856e-05,0.0009789264295250177,0.001887403428554535,NA,NA,NA
20,5.877626608707942e-05,0.0012448622146621346,0.002372171962633729,NA,NA,NA
21,7.881928468123078e-05,0.0011492521734908223,0.002140865894034505,NA,NA,NA
22,7.855714648030698e-05,0.0011028997832909226,0.002048685448244214,NA,NA,NA
23,8.752203575568274e-05,0.0009948976803570986,0.0018147514201700687,NA,NA,NA
24,8.498144597979262e-05,0.0008823749958537519,0.0015947871142998338,NA,NA,NA
25,7.821559120202437e-05,0.0008250476676039398,0.0014936641091480851,NA,NA,NA
26,7.196549995569512e-05,0.0006997220916673541,0.0012555131688714027,NA,NA,NA
27,0.00013458733155857772,0.001011971035040915,0.0017547676106914878,NA,NA,NA
28,6.518213194794953e-05,0.0008289586985483766,0.0015275529585778713,NA,NA,NA
29,3.443295645411126e-05,0.0005468044546432793,0.0010247430764138699,NA,NA,NA
30,9.404931188328192e-05,0.0008441457175649703,0.0015001919819042087,NA,NA,NA
31,4.9577149184187874e-05,0.0006654791650362313,0.0012318033259361982,NA,NA,NA
32,4.004191214335151e-05,0.0006846889737062156,0.001289294334128499,NA,NA,NA
33,3.706128700287081e-05,0.000584965106099844,0.0010958078783005476,NA,NA,NA
34,6.566302181454375e-05,0.0008563594310544431,0.0015813924837857485,NA,NA,NA
0,0.00010851387196453288,0.0007686676690354943,0.0013203079579398036,NA,NA,NA
1,4.655962766264565e-05,0.0005663006450049579,0.0010394820710644126,NA,NA,NA
2,2.2025178623152897e-05,0.00031657679937779903,0.000589103321544826,NA,NA,NA
3,0.00011208913929294795,0.0007917369366623461,0.001359295565634966,NA,NA,NA
4,3.820477650151588e-05,0.0004538111388683319,0.0008312125573866069,NA,NA,NA
5,3.6296845792094246e-05,0.00048180256271734834,0.0008910113829188049,NA,NA,NA
6,2.251048863399774e-05,0.00028594289324246347,0.000526864780113101,NA,NA,NA
7,1.39324019983178e-05,0.0002973536611534655,0.0005668424419127405,NA,NA,NA
8,4.596567669068463e-05,0.0004004765360150486,0.000709021755028516,NA,NA,NA
9,1.7362463040626608e-05,0.00033378505031578243,0.0006328451563604176,NA,NA,NA
10,1.3665398910234217e-05,0.00027783727273344994,0.0005283437785692513,NA,NA,NA
11,2.602586209832225e-05,0.00034017630969174206,0.0006283010588958859,NA,NA,NA
12,1.5083865946508013e-05,0.00040421338053420186,0.0007782591856084764,NA,NA,NA
13,1.4678975276183337e-05,0.0002836661005858332,0.0005379741778597236,NA,NA,NA
14,1.0660487532732077e-05,0.00019790838996414095,0.0003744958958122879,NA,NA,NA
